question,opa,opb,opc,opd,ope,cop
"An 18 month old girl has poor weight gain and is seen in the GP surgery. She eats the same food as her 3 year old brother. She has had loose stools for several months. She has had no vomiting. Her weight is 10.5 kg. Her abdomen is distended and she has loose skin over her buttocks.","Coeliac disease","Cow’s milk protein allergy","Crohn’s disease","Lactose intolerance","Non-organic failure to thrive","Coeliac disease"
"A 20 year old man is admitted with status epilepticus and aspiration pneumonia. He has worsening respiratory failure requiring mechanical ventilation. He has a chronic life limiting neurological condition with drug resistant epilepsy. He has severe global developmental delay. He has had three previous admissions to the intensive care unit this year. The family want to continue with active treatment but the intensive care team have advised that the patient should not be ventilated.","Apply for a court order to withdraw treatment","Complete a Do Not Resuscitate (DNR) form","Discuss the concerns of the intensive care team with the family","Follow the advice of the intensive care team","Follow the family wishes for active treatment","Discuss the concerns of the intensive care team with the family"
"A 64 year old man has retrosternal chest pain for 1 hour. He had similar pain 12 hours earlier that lasted for 3 hours. His pulse rate is 40 bpm and BP 120/60 mmHg. He is currently pain free after taking oral aspirin and sublingual glyceryl trinitrate.","Angiogram","Chest X-ray","Creatine kinase level","ECG","Troponin level","ECG"
"A 6 week old baby girl has a murmur found at her routine baby check. She is breastfeeding well. She is not cyanosed. Both femoral pulses are palpable. There are no heaves or thrills. She has a harsh pansystolic murmur, grade 3/6, loudest at the lower left sternal edge with no radiation. Her liver is not enlarged.","Coarctation of the aorta","Innocent murmur","Pulmonary stenosis","Tetralogy of Fallot","Ventricular septal defect","Ventricular septal defect"
"A 27 year old woman with Crohn’s disease is passing feculent material through her vagina. Which part of the bowel is most likely to be causing the symptoms?","Caecum","Descending colon","Ileum","Jejunum","Sigmoid colon","Sigmoid colon"
"A 23 year old woman has worsening diarrhoea with blood and mucus for 2 months and is seen in the GP surgery. She has abdominal pain and bloating. She has no weight loss. Her abdomen is soft and there is mild left-sided tenderness on deep palpation. She has active bowel sounds.","Colonoscopy","Faecal calprotectin","Faecal occult blood","Helicobacter pylori stool antigen","Stool culture and sensitivity","Colonoscopy"
"A 31 year old woman has increasing shortness of breath and left-sided pleuritic chest pain for 1 week. She smokes 10 cigarettes per day. She takes the combined oral contraceptive pill. Her temperature is 36.8°C, pulse rate 105 bpm, BP 105/80 mmHg, respiratory rate 22 breaths per minute and oxygen saturation 98% breathing air. Her chest is clear.","Bronchiectasis","Lung cancer","Pneumonia","Pulmonary embolism","Pulmonary tuberculosis","Pulmonary embolism"
"A 22 year old woman requires long-term contraception and is reluctant to take regular tablets. She has two children. She is a shift worker. Her BP is 138/81 mmHg and BMI 26 kg/m².","Combined oral contraceptive pill","Diaphragm","Etonogestrel implant (Implanon)","Levonorgestrel-releasing intrauterine system (Mirena coil)","Tubal ligation","Etonogestrel implant (Implanon)"
"A 75 year old man has attended the Emergency Department on two occasions over a 6 week period with bruising to his forearms and face. He has dementia. He is physically fit and takes no regular prescription medication.","Bleeding disorder","Non-accidental injury","Occult malignancy","Scurvy","Vasculitis","Non-accidental injury"
"A 26 year old woman has severe abdominal pain and heavy vaginal bleeding and is seen on the labour ward. She is 40 weeks pregnant in her first pregnancy. Her uterus is tender and hard. The fetal heart rate is 180 bpm.","Cervical ectropion","Disseminated intravascular coagulation","Placenta praevia","Placental abruption","Vasa praevia","Placental abruption"
"A 55 year old man has difficulty breathing after being stabbed with a knife in the right side of his neck. The wound is in the right posterior triangle of his neck. His chest movements are asymmetrical.","Greater splanchnic nerve","Phrenic nerve","Recurrent laryngeal nerve","Spinal accessory nerve","Vagus nerve","Phrenic nerve"
"A 36 year old woman gave birth to her first child 4 weeks ago. She feels tired and is worried about her lack of feelings for the baby. She has loss of appetite, sleep disturbance and occasional intrusive thoughts of harming the baby.","Drug induced psychosis","Generalised anxiety disorder","Normal postnatal symptoms","Obsessive compulsive disorder","Postnatal depression","Postnatal depression"
"A 34 year old woman has had secondary amenorrhoea for 8 months. She has lost 6 kg in weight despite having a good appetite.","Hyperthyroidism","Hypogonadism","Polycystic ovary syndrome","Premature ovarian failure","Prolactinoma","Hyperthyroidism"
"A 30 year old woman has bright red rectal bleeding. The blood is on the surface of the stool and she has intermittent mucus on wiping. She has a longstanding constipation with the passage of hard faeces.","Anal fissure","Haemorrhoids","Meckel diverticulum","Systemic bleeding disorder","Trauma","Haemorrhoids"
"A 55 year old man has acute retrosternal discomfort and is unable to swallow an hour after eating a sandwich. For the last month he has found swallowing painful and has lost weight.","Barium swallow","Chest X-ray","CT scan of the thorax","Outpatient clinic referral","Upper gastrointestinal endoscopy","Upper gastrointestinal endoscopy"
"An 18 month old boy has delay in his developmental progress. He scribbles meaninglessly using a pencil and has no hand dominance. He has a social smile. He does not hold eye contact. He has started walking. He is unable to run or kick a ball. He speaks two-syllable words with no meaning.","Absence of hand dominance","Inability to hold eye contact","Inability to run or kick a ball","Meaningless scribbling","Speaking two-syllable words with no meaning","Inability to hold eye contact"
"A 38 year old woman has red itchy eyes with crusting in the morning for 9 days. She works in a laboratory and is having difficulty using her microscope. There is no history of trauma. Her conjunctivae are red. Pupils and visual acuity are normal.","Anaesthetic","Antibacterial","Antiviral","Mydriatic","Steroid","An�bacterial"
"A 28 year old woman has a generalised seizure and is admitted to the antenatal ward. She is 38 weeks pregnant. Her BP is 190/120 mmHg","Diazepam","Hydralazine","Levetiracetam","Magnesium sulfate","Phenytoin","Magnesium sulfate"
"A 42 year old woman tests positive for high-risk human papillomavirus (HPV) on a routine cervical smear and is seen in the GP surgery.","No action required","Refer for colposcopy","Repeat smear in 3 months","Repeat smear in 1 year","Repeat smear in 3 years","Refer for colposcopy"
"A 55 year old woman is due to have a diagnostic gastroscopy. She has type 2 diabetes and takes gliclazide.","Change gliclazide to metformin","Change gliclazide to subcutaneous insulin","Omit gliclazide for 24 hours prior to procedure","Omit gliclazide on morning of procedure","Start glucose-potassium-insulin infusion on day of procedure","Omit gliclazide on morning of procedure"
"A 32 year old woman has intermittent palpitations, paraesthesia, breathlessness and dizziness for 6 months. She is unable to tolerate crowded places and avoids trains and supermarkets.","Amitriptyline","Diazepam","Moclobemide","Propranolol","Sertraline","Sertraline"
"A 55 year old woman has shortness of breath on exertion. She has Hashimoto’s thyroiditis and takes levothyroxine. Investigations: Haemoglobin 64 g/L (115–150) Mean cell volume 103 fL (80–96) Thyroid stimulating hormone 1.4 mU/L (0.3–4.2)","Folate deficiency","Haemolysis","Iron deficiency","Myelodysplasia","Pernicious anaemia","Pernicious anaemia"
"A 60 year old man is anuric. He recently had a left nephrectomy for renal cell carcinoma. His temperature is 39.0°C, pulse rate 98 bpm and BP 80/60 mmHg.","Bladder catheterisation","Lithotripsy","Percutaneous right nephrostomy","Retrograde drainage of the right renal tract","Suprapubic catheterisation","Percutaneous right nephrostomy"

